Filename,Transcription,Status
Besar bechey 1(1).m4a,बेसार पौत्तिस किलो बेते,Success
person_3_8.3.wav,डाल एक किलों कटाव।,Success
"person_8_chini4,.wav",चीनी एक किले बटाव।,Success
New Recording 28.m4a,वेसार पत्छिस किलो थपा,Success
Anda baki noise.m4a,अड़ा कती बाकी छा?,Success
New Recording 14.m4a,महेदा 10 किलो बेचे।,Success
Anda baki4.m4a,अन्दा कती बाकी छो?,Success
person_3_16.3.wav,"east ήταν 9,O",Success
"13 Feb, 22.34​(2).wav",मैदा 10 किलो थापा,Success
person_2_16.3.wav,CD 1 kg गटाओ,Success
person_2_16.2.wav,एक किलो चीडी गटाओ होगोग।,Success
New Recording 15.m4a,मैदा दोस किलो काटाव।,Success
person_3_16.2.wav,चीनी एक किलो गटाओ,Success
Anda baki5.m4a,अन्डा कती बाकी छो?,Success
New Recording 29.m4a,बेसार पट्छिस किलो बेचे.,Success
Anda baki1(1).m4a,अण्डा कोती बाकी था?,Success
person_3_8.2.wav,लेक्किलोग अटाउ।,Success
person_7_2w.wav,ताल कोती बाकी साओ,Success
person_8_dal1.wav,दाल कती बाकी छा?,Success
"13 Feb, 22.35​(3).wav",बिसकृ कोटि बागी चाहूँ,Success
person_1_चीनी एक किलो बेच - Mic_s far away.wav,Cindhi 1 kg  Напр,Success
person_5_Tel tapa noise.wav,देव हे तुला थुबाव।,Success
Nahiti Batukvairab Marga 7.m4a,biscStevie,Success
person_1_तेल एक किलो बेच - Noise.wav,तेल एक किलों देचाब।,Success
person_1_तेल एक किलो घटाउ - Noise.wav,तेल एक चिनू गटा हूँ,Success
Anda ghatau 2.mp3,उन्नापुन्नावावा गटावुप।,Success
person_7_44x.wav,చిన్య ఎక్లు థాల థాలా,Success
Nahiti Batukvairab Marga 30.m4a,बेसार पचिछ किलो थपा,Success
Biscuit thap 2.mp3,बिसकिड बिस्पैबेट तॉप।,Success
Nahiti Batukvairab Marga 24.m4a,अंड़ा पंद्रा ओटाबीचे,Success
person_6_11b.wav,चामल एक किलो थपग,Success
person_7_33z.wav,तेल एक लिटर कटाव।,Success
Maida ghatau1.m4a,मैं दा दोस किलो करता।,Success
Anda bechey4.m4a,अंडब पंदरोडबेजे,Success
Biscuit kati baki 2.mp3,अभी स्टिपाइदी पाकी छाओ।,Success
Nahiti Batukvairab Marga 18.m4a,मैदा दोस किलो गटाउ,Success
person_4_chamal ghatau - far.wav,चामल एक किलो गटाव।,Success
person_7_444y.wav,चीनी एक किलो भेचर।,Success
"13 Feb, 22.36​(5).wav",महिदा कती बाकी सा?,Success
"13 Feb, 22.40​(7).wav",बिस्कृ बीस पैकेट कटाव।,Success
Chiura ghatau4.m4a,चीवरा पाच किलो गटाउ,Success
person_5_Nun kati baki normal.wav,नून कटे बाते था?,Success
Anda beche 3.mp3,अंडप पन्रोडप भीची।,Success
person_6_555b.wav,NULN各nas,Success
person_6_222d.wav,दाल एक किलो काताओ,Success
"13 Feb, 22.37​(7).wav",बिस्कृ बीस्पाकेट थाबा,Success
person_7_555x.wav,削тобы तुमनुन देखा दिसाइई Sommerler disease,Success
person_5_chamal Thapa Far.wav,तामे एक किलो ताबा,Success
person_4_daal ghatau - far.wav,दाल एक किलो गटा होने,Success
person_5_chamal thapa noise.wav,ताम एक किलो धबाइ।,Success
person_2_2.1.wav,एक किलो चामल थपा,Success
person_6_444c.wav,cık्छ придумाshots quadrant,Success
person_6_5a.wav,नून कती बाकी जब,Success
Nahiti Batukvairab Marga 15.m4a,मैदा 10 क्रिलो तपा,Success
"person_8_tel3,,.wav",तेलेक पिलो बेच।,Success
person_4_nun ghatau - far.wav,नुण एक किलो कटावुद।,Success
person_7_33w.wav,ન restrictionäg ન  indispens ન,Success
Nahiti Batukvairab Marga 29.m4a,बेसार कटी के बागी छाँ।,Success
person_1_दाल एक किलो घटाउ - Noise.wav,दाल एक किलो कटाव।,Success
"13 Feb, 22.36​(10).wav",अंडब पंदर वड़ा थाबा,Success
person_3_4.2.wav,चामाल एक किलो गटाव।,Success
person_4_chini ghatau - far.wav,sugar 1 kg,Success
person_7_2z.wav,ताल एक किलो कटावु,Success
Anda ghatau2(1).m4a,अड़ा पंदोल ता खटाउ।,Success
New Recording 30.m4a,बेसार पत्छीस किलो बेचे,Success
person_1_चामल एक किलो बेच - Clear.wav,चामल एक किलो बेचा,Success
New Recording 24.m4a,अन्टा पन्द्रो अडा कताव।,Success
person_1_दाल एक किलो थप - Noise.wav,दाल एक किलो थबब,Success
New Recording 18.m4a,अंडा कती बाकी छो?,Success
Biscuit ghatau noise.m4a,बिस कूप बिस पाकेट को थाह।,Success
New Recording 19.m4a,अंडा पंद्रा ओटाय थपा,Success
person_3_6.1.wav,दालेक्किलो धबः,Success
person_4_chamal ek kilo becha - noise.wav,चामल एट किलो रेजा,Success
New Recording 25.m4a,बेसार कती बाकी छो?,Success
New Recording 31.m4a,बेसार पचिस किलो गटाउ,Success
person_2_18.1.wav,ooth hivaran,Success
person_4_chamal ek kilo thapa - noise.wav,1 kg,Success
person_7_1w.wav,चामुल कोटी बागी छा।,Success
person_4_nun - far.wav,मुन कोटी बाईती जब?,Success
person_3_18.1.wav,� por � Flor ਹ ਹ મ ઁ ્ ષ સ ઢ જ સ પ વ ય ા ર ળ ੰ લ ી ત સ ર ઼ ੰ િ ં ન દ મ ੰ ર ન સ ન ੱ મ ા ન ੱ ન ન ઔ ન ી ન � ко ી ન ન ન ન ન ન ન ન ન ન ન ન ન ન,Success
Anda ghatau far.m4a,वाण्डा पोंधे लेगा गाटां,Success
person_5_Nun becha far.wav,नुन एक किलू देजा,Success
person_3_4.3.wav,अमाल एक किलो गटाव।,Success
Nahiti Batukvairab Marga 28.m4a,बेसार कती पाइकी चा?,Success
"13 Feb, 22.38​.wav",चौरा कती बाकी छखुआँ।,Success
Nahiti Batukvairab Marga 14.m4a,मैदा दास किरो तबा,Success
person_6_4d.wav,ज्ञीन partial啦रु들이 गामा।,Success
Biscuit beche noise.m4a,विस्त्रिक्यूटू विस्ट्पाकेट बेजिएव।,Success
person_8_chini1.wav,जिनी कती बाग्की छो?,Success
"13 Feb, 22.36​(6).wav",मैदा 10 किलो थाबा,Success
person_6_444b.wav,completamente halten h tutor offered,Success
"13 Feb, 22.40​(4).wav",बिस्कृ खती बाकी छाँ?,Success
Anda baki4(1).m4a,अन्दा कती बाकी छो?,Success
person_6_33d.wav,तेल एक लिटर काटाव,Success
person_7_555y.wav,Nune 1 kg Vecha Tapio Butter,Success
Maida beche far.m4a,माईदा 10 किलो बेचे,Success
person_6_44d.wav,2.2 kg चिनी,Success
person_8_chini3.wav,जिनी येक्किलुबेत्स।,Success
person_7_444w.wav,चिनी कती बाकी सा?,Success
person_6_5b.wav,respace  Mormon,Success
Nahiti Batukvairab Marga 16.m4a,महिदा 10 किलो पेचा,Success
Maida baki far.m4a,माइन दाकोती बाकी था।,Success
Nahiti Batukvairab Marga 9.m4a,जुराबाच किलो बेचा,Success
person_4_chini kati baki cha.wav,जिनी को ती बाकी था।,Success
person_3_4.1.wav,चामाल एक किलो गटाव।,Success
Besar ghatau noise.m4a,25 kg गाटाओ,Success
Besar bechey4(1).m4a,25 kg बेचे,Success
person_7_2y.wav,दाल एक किलो बेजा,Success
person_1_तेल एक किलो बेच - Clear.wav,तेल एक किलो बेचा,Success
Maida ghatau normal.m4a,मैदा 10 किलो काटाव।,Success
person_1_तेल एक किलो घटाउ - Clear.wav,तेल एक किलो गटाओ,Success
person_5_Dal thapa far.wav,दाँ इकले तपा,Success
person_6_111d.wav,चामल एक किलो कटाव,Success
Besar thapa2(1).m4a,देसार पटिस्किलो थापा,Success
person_2_18.3.wav,DIA fortunate,Success
person_3_18.3.wav,उन्हें एक किलो थबार।,Success
"13 Feb, 22.39​(3).wav",मैदा 10 किलो तबा,Success
New Recording 27.m4a,वेसार पचिस किलो थपः,Success
New Recording 33.m4a,बिस्कृत कती बाकी थो?,Success
person_4_chamal ghatau.wav,चामल एक किलो घटाू,Success
person_3_6.3.wav,leicht बासिया,Success
person_3_6.2.wav,दालीज्गिनो धपा,Success
New Recording 32.m4a,वेसार पत्छीस किलो घटाओ।,Success
New Recording 26.m4a,बेसार कती बाकी जब?,Success
"person_8_dal4,.wav",दाल एक किलो गटाउ,Success
person_3_18.2.wav,नून एक क्यूलो था पा,Success
person_4_daal ghatau - noise.wav,डाल एक किलो पटाओ,Success
person_2_18.2.wav,ത�emu �들을 Laser,Success
Besar thapa far.m4a,पेसार पौच्छीस किलो था पवाओ।,Success
Besar baki mormal l.m4a,Bizarre कोदी बाकी जो,Success
person_7_2x.wav,दाल एक केलो धपा,Success
person_4_nun - noise.wav,మామాక్లిభాకాలి చాలి,Success
"13 Feb, 22.38​(2).wav",चुरा पाथ्स किलो थबब,Success
Nahiti Batukvairab Marga 8.m4a,जुरा पाथ्स किलो पिछा,Success
person_7_44w.wav,इकोती बागी छवू,Success
"person_8_nun2,.wav",यूँ नेक्ति वे फ़ाप।,Success
Besar baaki4(1).m4a,विशर कोती बाकी छो?,Success
Nahiti Batukvairab Marga 17.m4a,मैदा दास किलो बेचे,Success
person_6_5c.wav,నుణ ఏకులు బొతర,Success
"13 Feb, 22.34​.wav",मैदा कती बाकी छाँ?,Success
person_8_chini2.wav,China was doesn't want to,Success
person_6_444a.wav,जिनी कती बाकिसाओ।,Success
"person_8_tel1,,.wav",तेल कोटी बांगी जो?,Success
person_2_2.3.wav,चाबल एक किलो थपः,Success
Anda bechey1(1).m4a,अंड़ पण्रोता बेचे,Success
person_4_nun becha.wav,नुन एक किलो बेजा,Success
person_7_555z.wav,नून एक किलो कटाव।,Success
person_4_nun becha - far.wav,1 kg बेजा,Success
person_4_tel ghatau - noise.wav,styling Danne dhe Keal,Success
person_6_222b.wav,दाल एक किलो थपा,Success
person_6_44a.wav,चीनी कती बागी सा?,Success
person_6_33c.wav,तेल एक लिटर बेचा,Success
Maida ghatau5.mp3,माईदा 10 किलो गटाव।,Success
person_6_4c.wav,చిని ఇక కిలి బిట మా సంని,Success
person_7_333y.wav,तेल एक लिटर रेचा,Success
person_1_चामल एक किलो घटाउ - Noise.wav,सामल एक चिलो गटावु,Success
person_1_नुन एक किलो थप - Clear.wav,Bloomberg  desenvol,Success
person_1_नुन कति बाँकी छ - Noise.wav,नून कती बायकी सर्व?,Success
"13 Feb, 22.35​.wav",बेसार पट्टिस किलो बेचें,Success
"person_8_chamel,4.wav",चामाल एक किल्यो गटाउ,Success
person_3_2.2.wav,चामाले 1 किरो धपा,Success
Nahiti Batukvairab Marga 13.m4a,मैदा कती बाकिछा?,Success
"person_8_nun3,,.wav",বেরেরে বেরে বে বরে বে,Success
"person_8_nun3,.wav",नुण एक गिलो बेत्सू।,Success
person_4_nun.wav,नून कती बात की छाह।,Success
person_2_6.3.wav,दाल एक किलो थपा,Success
"13 Feb, 22.38​(3).wav",चुरा पाथ किलो बेजे,Success
person_5_Chamal kati baki noise copy.wav,जाहुँ लोगते बाते शाउप।,Success
person_6_111a.wav,चामुल कती बाकी साथ?,Success
Besar thapa5(2).m4a,वेसार पौचीस किलो थापाओ,Success
Biscuit beche 3.mp3,इत बीस्पाकित बीजिएं,Success
Anda thapa2(1).m4a,अड़ा पान्डरो ओटा थापा,Success
person_7_3x.wav,एक लितर थापा।,Success
person_2_4.1.wav,1 kg चाबल गटावू,Success
New Recording 22.m4a,अंडा पंद्रो अडा बेची,Success
Besar ghatau notmal.m4a,अपने प्रेसार पुछ्छीस किलो गाता हुँ।,Success
New Recording 36.m4a,इसकुड बीस पैकेट थापपा,Success
"13 Feb, 22.39​(2).wav",मैदा कती बाकी छाँ?,Success
"person_8_tel1,.wav",तिल बडि पांखी शाँ।,Success
New Recording 37.m4a,बिस्कृट बीस पैकेट बेचे.,Success
New Recording 23.m4a,अन्ड़ पान्द्रवड़ा गटाव।,Success
person_4_chini thapa - far.wav,1 kg sugar,Success
person_4_daal thapa - far.wav,दाल एक किलू थपा,Success
"person_8_dal1,,.wav",दाल कोती बाकी छो?,Success
person_7_3y.wav,तेल एक लिटर बेचा,Success
person_7_111w.wav,चामल कदी बागी छा?,Success
Biscuit beche 2.mp3,biscuit bis packet bt,Success
Anda bechey3(1).m4a,अंड़ पौन्दरू वटा बेचे,Success
person_2_6.2.wav,दाल एक किलो थापा,Success
Nahiti Batukvairab Marga 12.m4a,अइंदा काती बागी छाँ।,Success
person_3_2.3.wav,सामाल एक किलो धबा,Success
Biscuit baki normal.m4a,बिस्कृ खाती बाकी था?,Success
person_6_444d.wav,चीनी 1 किलो काटाव,Success
person_5_Chini thapa noise.wav,जिनू अइकिलो तबा,Success
person_7_333x.wav,तेल एक लिटर भापा,Success
person_6_4b.wav,చిన్యాలు తాబా,Success
person_7_11z.wav,AMAL 1 kg कटाव।,Success
person_6_33b.wav,तेल एक लिटर धपा,Success
Besar baki noose.m4a,अभी सार्काती बाखे जाओगा।,Success
person_6_222c.wav,दाल एक किलो बिट्साब,Success
"person_8_chini1,,.wav",जिनी कछी पाकी से?,Success
person_4_tel ghatau - far.wav,1 litre daun,Success
person_6_222a.wav,दाल कती बाकी जा।,Success
"13 Feb, 22.40​(5).wav",बिसकुट बिस पैकेट थाबा,Success
person_7_11x.wav,साके असूा कास डेillary mention कास भी � HDMI Pause,Success
person_6_44b.wav,1kg ത്്്ത്,Success
person_6_5d.wav,하면,Success
"person_8_chini3,,.wav",चीणी 1 किलो बेच,Success
person_7_333z.wav,तेल एक लिटर गटाव।,Success
"13 Feb, 22.36​(7).wav",मैं दाजकी लूबेती,Success
Nahiti Batukvairab Marga 38.m4a,बिस्कृट बीस्पैकेर थपा,Success
"13 Feb, 22.39​.wav",चुरा पाच किलो कटाव।,Success
person_3_2.1.wav,चामालेक्किलो थपड,Success
Biscuit ghatau normal.m4a,बिस्कृ बिस्पाकेट खटाओ,Success
Nahiti Batukvairab Marga 10.m4a,रा पाच किलो गटाओ।,Success
person_1_दाल कति बाँकी छ - Noise.wav,दाल कठी बैटी साथ,Success
"person_8_dal3,,.wav",अदाले किलो बिट्ष्,Success
person_6_111b.wav,चामल एक किलो थबब,Success
person_1_चीनी एक किलो थप - Noise.wav,Sugar 1 kg,Success
person_2_4.2.wav,1 kg चाबल गटाओ,Success
New Recording 35.m4a,विस्कृट भीस्पैकेट थापपा,Success
New Recording 21.m4a,अन्ड़ पंद्रो ओताब बीची,Success
New Recording 20.m4a,अंडा पंद्र अडा तपः,Success
Biscuit ghatau far.m4a,पिस्कृट पिस्पैकेट कहतांगुए,Success
New Recording 34.m4a,बिस्कृत कोती बाकी था?,Success
person_4_chini becha.wav,1 kg बेज़,Success
person_1_चीनी कति बाँकी छ - Mic_s far away.wav,चीनी कोटी बागी छाँ?,Success
person_2_4.3.wav,साबल एक किलो घटाव।,Success
Biscuit beche 1.mp3,Biscuit BT,Success
person_7_3z.wav,तेल एक लिटर कटाव।,Success
person_6_111c.wav,चामल एक किलोबी चम,Success
person_2_6.1.wav,दाल एक किलो थापा,Success
person_1_नुन एक किलो घटाउ - Clear.wav,नून एक किलो गटाव।,Success
"13 Feb, 22.33​(4).wav",चुरा 5 किलो कटाओ,Success
person_4_tel kati baki cha.wav,तेल कठी बाकी छाँ,Success
person_5_Chini ghatau normal.wav,Dimi ikpile wa thaw,Success
"13 Feb, 22.36​(11).wav",अड़ा पन्द्रो अड़ा बेजें,Success
Anda beche far.m4a,अण दाग पौन्दर लभेतें।,Success
Nahiti Batukvairab Marga 11.m4a,चुरा पाच किलो घटाओ।,Success
person_4_chamal Kati baki cha.wav,चामल कती बाकी जहा?,Success
Chiura baki far.m4a,छुरा कोटी बाकी था लोगा?,Success
person_1_चीनी कति बाँकी छ - Clear.wav,चीनी कती बाकी छा?,Success
Nahiti Batukvairab Marga 39.m4a,biscuit bis spaget thapa,Success
Biscuit baaki 1.m4a,बिस्कृत कती बाकी छो?,Success
person_8_chini4.wav,चीनी एक किल्यो कटाव।,Success
person_6_4a.wav,चिनी कठी बाकी जा?,Success
"person_8_nun1,,.wav",नुन कती बाग्की शा?,Success
person_6_44c.wav,1 kg sugar,Success
person_7_11y.wav,चाइमाल एक किलो बेचा,Success
person_6_33a.wav,तिल कती बाकी जा,Success
Biscuit baki far.m4a,बिसकुल काते बाकिताँ।,Success
person_4_chini kati baki cha - noise.wav,जुनी पति बाईकि छाओँ।,Success
person_1_चीनी एक किलो थप - Mic_s far away.wav,S going to roll this sugar,Success
"13 Feb, 22.37​(6).wav",बिस्कृ खटी बाकी जा,Success
person_7_222w.wav,दाल कती बाकी सा?,Success
Chiura kati baki 4.mp3,सिव्रा काती बाकी छा?,Success
person_2_19.3.wav,दूद एक किलो बेचा,Success
person_3_19.3.wav,ểuन JUN one kilob balcony,Success
Chiura beche 3.mp3,चुड़ाप पाच कीडब बेते हैं।,Success
New Recording 7.m4a,जीवरा पाच किलो गटाओ।,Success
person_5_Chamal becha noise.wav,तामल एक प्लुलो बेजाए।,Success
person_3_7.3.wav,दाल एक किलो भेचा,Success
Anda ghatau4.m4a,अंड़ा पून्दर। ता गटाव।,Success
Maida bechey1.m4a,मैदा 10 किलो बेचे,Success
person_1_तेल एक किलो थप - Clear.wav,तेल एक किलो धबा,Success
person_6_3b.wav,तेल एक लिटर धपा,Success
Chiura bechey 5.m4a,चिव्रा पाच किरो बेटे,Success
"person_8_chini4,,.wav",चीनी 1 किल्यों गटाओ,Success
Nahiti Batukvairab Marga 62.m4a,बिस्किर बिस्पाकिर बेचे,Success
Anda baki normal.m4a,अंडा कोटी बाकी जाओ?,Success
Anda thapa2.m4a,अड़ा पान्डरो ओटा थापा,Success
person_3_5.1.wav,ताल कती बाकी छा?,Success
person_4_chini ghatau - noise.wav,चिम्मी एक किलो कटावुप्टु,Success
Maida kati baki 2.mp3,माई दा काटी बाकी छा?,Success
person_1_नुन एक किलो बेच - Mic_s far away.wav,नुन एक किलू बेचाओ,Success
person_5_Dal ghatau no nooise.wav,दाद इकिलो काटाव।,Success
"person_8_dal4,,.wav",दाले किलो गटाव।,Success
person_7_4y.wav,जिनी एक किलो पे चाँ।,Success
New Recording 53.m4a,बेसार कती बाकी साथ।,Success
person_6_22b.wav,दाली एक किलो थपा,Success
Besar baaki2(1).m4a,बिसार् कती बागी छो,Success
"13 Feb, 22.39​(5).wav",मैदा दस किलो कटाव।,Success
New Recording 47.m4a,महिला 10 किलो बेचे,Success
person_2_3.2.wav,1 kg चामल बेचाँ,Success
person_4_chini ghatau.wav,चुनी एक्ढिलो कटावु,Success
person_5_Chini kati baki far.wav,जुणी पढ़ी बादिसा,Success
person_2_3.3.wav,चाबल एक किलो बेचा,Success
person_6_55a.wav,ਸੁਸੀਸਸੀਸਸੀ !,Success
New Recording 46.m4a,महिदा दास किलो थफ़पा,Success
New Recording 52.m4a,अड़ा पान्दरो अड़ा गटाव।,Success
person_6_22c.wav,दाल एक किलू बिचा,Success
"person_8_dal2,.wav",दालेक्किन तौप।,Success
person_7_4x.wav,अनि एक किलो थबा,Success
person_2_1.1.wav,छामल कती बाकी छा?,Success
person_4_chini kati baki cha - far.wav,जिनि कोती बाईकि छा?,Success
person_5_Chamal kati baki noise.wav,जाहुमाल कोटी बागे साओ?,Success
Maida kati baki 3.mp3,मुईदा कटी बाकी छो?,Success
person_5_Chini ghatau far.wav,श्पीणी एक्किन्दा गटा हो,Success
person_1_तेल कति बाँकी छ - Noise.wav,तेल कोटी बाईकी जब?,Success
person_5_Tel kati baki far.wav,देइल कोडिबादिता,Success
"person_8_nun4,.wav",नुन एक किलो गटाव।,Success
Anda thapa3.m4a,अड़ा पण्रो अटा थोपा,Success
Nahiti Batukvairab Marga 63.m4a,इसकी रूइस पैंकेर गटा हूँ।,Success
Chiura bechey 4.m4a,चीव्रा पाच किलो बेचे,Success
Besar thapa4(1).m4a,देशार पाचीस किला थापा,Success
person_6_3c.wav,तिल एक लिटर भीचा,Success
Besar bechey2(1).m4a,बिसार पौचीस किलो बेचे,Success
person_5_Tel becha noise.wav,तीव रिति लोगिताँ।,Success
Anda thap 2.mp3,अण्ड़ा पून्द्रोता थपू,Success
Anda ghatau5.m4a,अंड़ा पौन्दरोता गटाव।,Success
person_3_7.2.wav,दाले किलोपेचा,Success
New Recording 6.m4a,10 完了5 kilos,Success
person_3_19.2.wav,नुइज्किलोदोप्यता,Success
Chiura beche 2.mp3,छीव रा पाँच किलो बेची,Success
person_2_19.2.wav,aidewek,Success
Chiura kati baki 5.mp3,ज्यूरा गदी बाकी था?,Success
New Recording 4.m4a,45 kg तपा,Success
Maida bechey2.m4a,महिदा 10 किलो बेचे,Success
Maida thapa4.m4a,मैदा दोस किलो थापा,Success
person_1_तेल एक किलो बेच - Mic_s far away.wav,तेल एक किलो बेचाँ,Success
person_4_chamal ek kilo becha.wav,चामल एक किलो बेजा,Success
Maida beche 5.mp3,मुइडा दौस किलो बेछें,Success
person_6_3a.wav,तिल कती बाकी जब।,Success
"person_8_nun4,,.wav",� веч Austral,Success
Maida thap 5.mp3,माईदा अप्माच किलो थब,Success
person_5_Chini becha normal.wav,तिनु जिक्टि लुबेगाँ।,Success
Nahiti Batukvairab Marga 61.m4a,Biscuit Whisk Packet Thapa,Success
Anda thapa1.m4a,अण्डा पंद्र अडद तपा,Success
Nahiti Batukvairab Marga 49.m4a,अइदा दा स्की रदा धाबा,Success
person_3_5.2.wav,दार गती बाकी छा.,Success
Maida baaki4.m4a,मैदा कती बाकी छो,Success
person_8_chmael3.wav,चामाल एक किलो बेच।,Success
Maida kati baki 1.mp3,मौई दा कोटी बाकी सा?,Success
"13 Feb, 22.33​(3).wav",जिव्रा पाइज किलो बेज हैं,Success
Besar bechey3.m4a,बिस गूट बिस पागेट बेचे,Success
"person_8_tel2,,.wav",तिले किलो थाब,Success
person_2_1.3.wav,चाबल कती बाकी छो?,Success
"13 Feb, 22.39​(9).wav",अड़ा पन्रावता कटावुगु,Success
person_7_4z.wav,sugar 1 kg,Success
"person_8_chini1,.wav",सिनी कदी माईगी साथ,Success
Maida thapa noise.m4a,माइदाल दस्पी लेत्रपार।,Success
New Recording 44.m4a,चुरा पाच किलो गटा हुँ।,Success
person_6_55c.wav,,Success
person_6_22a.wav,दाल कती बाकी था।,Success
"13 Feb, 22.34​(7).wav",अंड़ा पंद्रो वटा बेजें,Success
New Recording 50.m4a,अड़ा पंद्रावडा तपा,Success
person_4_daal becha.wav,दाल एक किलो बेचा,Success
person_2_3.1.wav,एक किलो चामल बेचा।,Success
person_4_tel becha - noise.wav,28 litre beta,Success
New Recording 51.m4a,आण्डा पान्द्रो अडा बेची,Success
person_6_55b.wav,N 분 1kg обрат,Success
New Recording 45.m4a,महीदा कटी बाकी था?,Success
person_4_tel thapa - noise.wav,तेल एक लिटर थापा,Success
person_2_1.2.wav,चामल कती बाकी छा?,Success
Biscuit ghatau2.mp3,...P.S. своиacer G hoop ... ... ...,Success
"13 Feb, 22.35​(6).wav",बिस्कृट पीस्पाकेट का डावु,Success
Besar bechey2.m4a,बिसकृट बिस्प्प्ड़केट पेजे,Success
Anda baki far.m4a,अंदा कोछी बाकी जा?,Success
Chiura ghatau normal.m4a,चुड़ा 5 किलो गटा हो,Success
Maida baaki5.m4a,मैदा कती बाकी छो,Success
person_3_5.3.wav,दालकती बाकी था।,Success
Besar thapau 1.m4a,बिसार पचीस किलो गटाव।,Success
Nahiti Batukvairab Marga 48.m4a,महिदा कदी बाति छा?,Success
Nahiti Batukvairab Marga 60.m4a,बिस्कृ खाती बागी था?,Success
Maida thap 4.mp3,माईदा 5 क्यूलो थफ़प,Success
Maida beche 4.mp3,मुइडा दास्टीर बेचें,Success
Anda ghatau4(1).m4a,अंड़ा पून्दर। ता गटाव।,Success
person_1_चामल कति बाँकी छ - Noise.wav,NOUNोरोDI safely,Success
person_6_2d.wav,दाल एक किलो कटाव,Success
Anda thap 1.mp3,अंड़ाप वाण्रावताय थप।,Success
Maida thapa5.m4a,माई दादास किलिए था पाओ,Success
Maida bechey3.m4a,महिदा 10 किलो बेजे,Success
person_3_7.1.wav,दाल एक किलो बेजा,Success
"13 Feb, 22.40​(2).wav",बेसार पचिस किलो बेजेइं,Success
New Recording 5.m4a,जीव्रा पाच किलो बेचा,Success
person_4_tel becha.wav,तेल एक लिटर बेचाओ,Success
person_4_nun thapa - far.wav,1,Success
person_2_19.1.wav,नून एक किलो बेचा,Success
Chiura beche 1.mp3,चीवरा पाजकिर बेचे,Success
person_3_19.1.wav,ਸੀਸੀਸੀੀੀੀੀੀ,Success
Anda thap3.mp3,आप वाण्रोल दटाब।,Success
person_1_चामल एक किलो बेच - Mic_s far away.wav,चामल एक किलो बेचन।,Success
person_5_Dal ghatau noise.wav,दाल एक किल गौडाम।,Success
Chiura beche 5.mp3,चीव रापाच किलिप बेचें,Success
Chiura kati baki 2.mp3,चीव्रा कटी बाकी छा?,Success
person_2_5.2.wav,दाल कती बाकी छो?,Success
"13 Feb, 22.40​(3).wav",बेसार पचिस किलो कटाव।,Success
Anda ghatau2.m4a,अड़ा पंदोल ता खटाउ।,Success
person_1_दाल कति बाँकी छ - Mic_s far away.wav,दाल कती बाकी छाँ?,Success
Chiura bechey 3.m4a,चीव रा पाट्स किलो बेटे!,Success
person_6_3d.wav,तिल इक लिटर घटाव।,Success
Maida thapa1.m4a,मैदा 10 किलो थापा,Success
Anda beche noise.m4a,अब अपाज़र लगे जे?,Success
Anda thap 5.mp3,अंड़ा पंद्रोड़ तप।,Success
person_2_20.1.wav,नून एक किलो गटाओ,Success
"person_8_dal2,,.wav",दालिक किलो थाब।,Success
person_3_20.1.wav,उन एक किलो गटाव।,Success
Nahiti Batukvairab Marga 58.m4a,ST TRUSH 45 kilometre BAY KIT,Success
Anda thapa4.m4a,अडा पान्दर अडा थापा,Success
person_1_तेल एक किलो घटाउ - Mic_s far away.wav,तेल एक क्यूलो बटाव,Success
Chiura thapa fan.m4a,जुडा पाथ किलो थाबा,Success
"person_8_chini2,,.wav",सीनियेक्किलत zwischen,Success
Maida baaki1.m4a,मैइदा कोती बाकी छो?,Success
Maida kati baki 4.mp3,मैं दापो दिमाकी छाँ,Success
person_3_3.1.wav,सामाल एक किलो बेता,Success
Maida ghatau far.m4a,मैंदा 10 किलो घटावाओ,Success
Chiura ghatau far(1).m4a,जीव राप पाथ किलो गाटा हो,Success
person_4_daal ghatau.wav,दाल एक किलो घटा हूँ,Success
person_1_चीनी एक किलो बेच - Noise.wav,छीडी एक किलू बेत्चः,Success
Besar beche 1.mp3,25 kg बेची,Success
person_3_1.3.wav,चामाव काची बाटी था।,Success
Biscuit thapa normal.m4a,बिस्कुट बिस्पाकित थपा,Success
New Recording 41.m4a,जीव्रा कती बाकी था?,Success
New Recording 55.m4a,देसार पच्छीस किलो बेचे,Success
person_5_Chini kati baki noise.wav,जुणिप पडिपादिपमा,Success
person_6_22d.wav,दाल एक किलो काताव,Success
New Recording 54.m4a,बेसार पचिस किलो थपः,Success
"13 Feb, 22.34​(6).wav",अंड़ा पंदरो वटाय थबब,Success
person_4_chini becha - far.wav,1 kg जीनि,Success
person_4_daal becha - far.wav,दान एक किलो बेजा,Success
New Recording 40.m4a,biscuit bis packet gata hu,Success
person_3_1.2.wav,चामल कती बागी छा?,Success
"13 Feb, 22.39​(8).wav",अड़ा पंद्रो वड़ा बेचें,Success
person_7_5z.wav,しか नोर्न् गल्ये ओगर्टाव।,Success
person_7_22w.wav,ताल कती बाकी शा?,Success
Maida kati baki 5.mp3,माईदा कोटी बाखी छो?,Success
person_5_Tel ghatau far.wav,1 kg गह्टा हो,Success
"13 Feb, 22.33​(2).wav",चुरा 5 किलो धपप,Success
Anda thapa5.m4a,अण्ड़ पंद्रा अटा तपा,Success
Maida thap 1.mp3,अइदा 5 किलो थुप।,Success
